DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - wood and wood products - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,49.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - wood and wood products - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,28.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - wood and wood products - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,24.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - agriculture and forestry - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,139.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - agriculture and forestry - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,93.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - agriculture and forestry - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,26.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - agriculture and forestry - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,23.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - commercial and public services - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1752.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - commercial and public services - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1702.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - commercial and public services - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,735.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - commercial and public services - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,723,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,3552.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,3196.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,1790.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,1776.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - fishing - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,0.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - fishing - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,0.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,1656.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,1395.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,1027.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,1029.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,3.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - other sectors - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,4.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,156.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,183.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,38.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,39.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - transport sector - pipeline transport - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,3.2,
