geo,TIME_PERIOD,Self_Sufficiency,Import_Dependency,Imports
Latvia,2015,0.30506672145402564,0.7590171263547936,5246.0
Latvia,2016,0.37792008775462504,0.6939192380341331,4828.0
Latvia,2017,0.4877314582301393,0.585274531012245,4072.912
Latvia,2018,0.34598323438182316,0.7276233284132997,5173.682
Latvia,2019,0.4170067635260257,0.6527199703167605,4610.761
Latvia,2020,0.44961964137574995,0.5906073482506786,4173.365
Latvia,2021,0.40358855834339397,0.6378670520357637,4666.37
Latvia,2022,0.28259027856554475,0.749884901653955,5308.232
Latvia,2023,0.4491405331828771,0.5873025892451176,4075.231
Malta,2014,1.0505381375760412,0.0,0.0
Malta,2015,0.5686255713532521,0.45926126039764886,1054.0
Malta,2016,0.3673379821106363,0.6543238343412352,1526.688
Malta,2017,0.6559079211019012,0.3640856906181168,897.066
Malta,2018,0.770596214628107,0.2492260208589451,631.293
Malta,2019,0.7732206614493741,0.24900597570967475,656.756
Malta,2020,0.8567699205617042,0.16816595717918945,419.81
Malta,2021,0.8155987673521239,0.2048361928054118,547.25
Malta,2022,0.7937024136177538,0.2242802274947977,646.139
Malta,2023,0.7943985412782194,0.22230317850758058,648.353
Netherlands,2014,0.7513171876414824,0.28962014108110656,32855.0
Netherlands,2015,0.7703188284903546,0.2686462354219285,30760.009
Netherlands,2016,0.826195167446809,0.20916872267336822,24257.626
Netherlands,2017,0.8397267283265617,0.19200842091288325,22457.716
Netherlands,2018,0.8045994244543643,0.22518662981085,26754.589
Netherlands,2019,0.8580148732668882,0.17185676146312456,20402.855
Netherlands,2020,0.8606128374738862,0.16874501198914743,19773.283
Netherlands,2021,0.8559250477791329,0.17618978957812403,20885.396
Netherlands,2022,0.8710788979061048,0.16316996098102513,18544.448
Netherlands,2023,0.8540437257430115,0.17366598896147234,19546.606
Norway,2014,0.969285508077826,0.05125089654750964,6347.0
Norway,2015,0.9668121090419506,0.05816022244142837,7371.0
Norway,2016,0.9749415489153647,0.04410213877086786,5740.0
